Parola,Frequenza
tom,793
huck,251
--,232
wissen,157
sehen,148
joe,135
lassen,130
junge,125
beginnen,115
the,107
mal,107
sagen,106
becky,101
denken,98
finden,95
alt,93
tante,90
gutenberg,88
project,88
halten,85
stehen,84
hand,83
hab,83
to,83
schließlich,81
augenblick,79
haus,78
plötzlich,78
of,78
or,77
sid,76
liegen,76
scheinen,75
nacht,73
tun,73
auge,72
kommen,71
herz,70
müssen,68
kopf,68
hören,64
sprechen,63
arm,63
bleiben,61
schrecklich,61
gesicht,60
fallen,60
polly,59
wort,57
fort,56
setzen,54
denk,54
tief,53
and,52
gedanke,52
kind,51
stimme,51
fühlen,51
halb,50
mann,49
versuchen,49
dorf,49
potter,48
weg,48
with,47
paar,47
tür,46
witwe,46
all,46
bißchen,45
letzter,45
erscheinen,45
zeigen,45
work,45
sitzen,44
o,44
herum,44
sag,44
ziehen,43
nehmen,43
suchen,43
weißen,43
fuß,42
thatcher,42
nächster,42
geben,42
höhle,42
legen,42
folgen,41
wasser,41
wär,41
stunde,41
warten,41
gott,40
schule,40
mädchen,39
this,39
geist,39
können,39
gewiß,38
herr,38
harper,38
leben,38
tot,38
mary,38
kapitel,37
voll,37
any,37
sache,37
buch,36
gehen,36
brechen,36
geld,36
gehören,35
schwach,35
laß,35
fahren,35
sofort,35
welt,34
schlagen,34
still,34
verlieren,34
bringen,33
glauben,33
werfen,33
dran,32
sollen,32
works,32
licht,32
machen,32
jung,31
ton,31
minute,31
stoßen,31
teufel,31
sicher,31
halt,31
not,30
bekommen,30
katze,30
frau,29
arbeit,29
lehrer,29
fragen,29
lang,29
heraus,29
ohr,29
schwer,29
nieder,28
dame,28
sawyer,28
gang,28
schön,28
treiben,28
leute,27
laufen,27
by,27
schatz,27
weile,27
knabe,27
traurig,27
fast,27
electronic,27
platz,27
springen,27
bett,26
seite,26
bursch,26
mund,26
you,26
träne,26
tragen,26
schweigen,26
meinen,26
huckleberry,26
dicht,26
menge,26
messer,26
treffen,26
name,26
for,26
flüstern,26
brauchen,25
fenster,25
blick,25
foundation,25
richter,25
baum,24
wald,24
gut,24
genau,24
gesellschaft,24
muff,24
rannen,24
rufen,24
zaun,23
glaub,23
gelegenheit,23
meile,23
spielen,23
stecken,23
sterben,23
höhe,23
vorsichtig,23
are,23
schlafen,23
abenteuer,23
luft,22
ding,22
merken,22
art,22
ort,22
niemals,22
traum,22
terms,22
woche,22
erfüllen,22
nochmals,22
vergessen,22
if,22
verlassen,22
schatten,22
grad,22
wenden,22
hoffnung,21
hervor,21
stelle,21
heben,21
erde,21
weinen,21
ling,21
treten,21
entdecken,21
weiß,20
bursche,20
allmählich,20
werden,20
befinden,20
land,20
kleid,20
copyright,20
kerl,20
einfach,20
verschwinden,20
ben,20
vorher,20
hoffen,19
stille,19
schnell,19
mensch,19
würd,19
kirche,19
erzählen,19
interesse,19
moment,19
zeichen,19
stolz,19
jim,19
vergnügen,18
gewöhnlich,18
hoch,18
feuer,18
schließen,18
angst,18
geschichte,18
töten,18
nummer,18
agreement,18
schreien,18
antwort,18
finger,18
rauchen,18
frühstück,18
entfernt,18
indessen,18
holen,18
stark,18
dunkel,18
dampfboot,17
stets,17
vergraben,17
unsinn,17
draußen,17
schauen,17
license,17
glänzend,17
boot,17
be,17
erheben,17
richten,17
boden,17
drauf,17
finn,17
toms,17
anderer,17
stellen,17
drücken,17
zuweilen,17
sobald,17
erreichen,17
do,17
hügel,16
helfen,16
geheimnis,16
stück,16
wundervoll,16
verlangen,16
ner,16
überall,16
erhalten,16
schwarz,16
schritt,16
walliser,16
schlaf,16
lustig,16
kummer,16
douglas,16
other,16
einzig,16
abend,16
weise,16
fluß,16
sinken,16
stöhnen,16
states,16
fing,16
lachen,16
from,16
fertig,16
glücklich,16
samstag,15
kennen,15
heiß,15
